time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
1.46,-0.007716025,-0.000230354,-0.010357628,-633236.3071,0.0151137,1.77E-05,4.23E-05,6.51E-05,8.43E-05,0.000106618,0.000141215,0.000200742,0.000279659,0.000401041,0.000529985,0.000630597,0.000693585,0.000703203,0.000680097,0.000628865,0.000575491,0.000532934
1.48,-0.008910261,0.004513934,0.001544553,-698831.0366,0.00557646,2.12E-05,5.01E-05,7.77E-05,0.000100957,0.000123939,0.000155416,0.000208428,0.000280882,0.000396699,0.000525719,0.000634287,0.000707604,0.000726067,0.000707014,0.000654965,0.000598724,0.000553328
1.5,0.001300437,0.002394873,-0.000498587,-715302.0192,0.010662,2.38E-05,5.74E-05,9.03E-05,0.000117726,0.000142132,0.000171185,0.000218444,0.000284757,0.000394035,0.000521431,0.000636913,0.000720604,0.0007487,0.000734375,0.00068233,0.000624408,0.000577415
1.52,-0.003319112,-0.00106604,0.012018874,-753027.9503,0.0116535,2.58E-05,6.41E-05,0.00010271,0.00013453,0.000160935,0.000188406,0.000230685,0.000291174,0.000393243,0.000517557,0.000638632,0.000732348,0.000770772,0.000761987,0.000710934,0.000652626,0.000605357
1.54,-0.004033868,-0.00079063,0.01987847,-801904.5447,0.0105309,2.81E-05,7.06E-05,0.000115267,0.000151774,0.000180648,0.000207438,0.000245544,0.000300491,0.000394955,0.000515036,0.000640184,0.000743158,0.000792437,0.000790141,0.000741269,0.000683953,0.000637749
1.56,-0.002764647,0.002148683,0.022601879,-764852.3856,0.00478799,2.98E-05,7.64E-05,0.000126973,0.000168525,0.000200413,0.000227373,0.000262133,0.000311828,0.000398518,0.000513529,0.000641115,0.00075219,0.000812625,0.000817865,0.000772587,0.000717712,0.000673892
1.58,0.00305145,0.004786232,0.031297644,-695510.8032,0.00683851,3.03E-05,8.04E-05,0.000136645,0.000183478,0.000219074,0.000246978,0.000279199,0.000323988,0.000402925,0.000512303,0.000640662,0.000758369,0.000829977,0.000843842,0.000803789,0.000752884,0.000712729
1.6,0.001062031,0.000262318,0.026138703,-687287.992,0.0111928,3.04E-05,8.29E-05,0.000144461,0.000196729,0.000236774,0.000266364,0.000296797,0.000337114,0.000408496,0.000511876,0.000639387,0.000762051,0.000844543,0.000868078,0.000835072,0.000789758,0.000754532
1.62,-0.003209084,-0.000182997,0.020672182,-779746.8688,0.0151379,3.15E-05,8.58E-05,0.000151861,0.00020963,0.000254803,0.000286832,0.000316175,0.000352543,0.000416728,0.000513869,0.00063902,0.000764872,0.000857654,0.000891776,0.000867775,0.000829779,0.000800771
1.64,-0.007036655,-0.001720612,0.01678707,-948827.499,0.0177113,3.43E-05,9.08E-05,0.000160471,0.000223553,0.000274434,0.000309649,0.000338602,0.00037162,0.000429095,0.00051984,0.000641247,0.000768539,0.000870743,0.000916165,0.00090318,0.000874351,0.000852928
1.66,-0.009484639,0.001166499,-0.004059096,-1053396.828,0.00898661,3.79E-05,9.77E-05,0.000170615,0.000238497,0.000295484,0.000334606,0.000363923,0.00039426,0.000445594,0.000529849,0.000646271,0.000773364,0.000883896,0.000941075,0.000941076,0.000923381,0.00091104
1.68,-0.00069751,0.001470338,-0.010155196,-1034691.672,0.00691002,4.04E-05,0.00010425,0.000180828,0.000252902,0.000316098,0.000359751,0.000390278,0.000418681,0.000464475,0.000542209,0.000652575,0.000778005,0.000895615,0.000964705,0.00097953,0.000975017,0.000973411
1.7,0.001187593,0.001096984,-0.005181321,-926143.6494,0.00363581,4.10E-05,0.000108601,0.000189478,0.000265465,0.000334668,0.000383307,0.000415963,0.000443222,0.00048409,0.000555357,0.000658767,0.000781325,0.000904658,0.000985509,0.00101678,0.00102752,0.00103843
1.72,0.00404129,0.006188993,0.005348989,-807876.7496,0.00444856,4.01E-05,0.000110061,0.000195573,0.000275712,0.000350581,0.000404478,0.000440209,0.000467122,0.000503679,0.000568563,0.000664332,0.000783004,0.000910701,0.00100294,0.00105197,0.00108001,0.00110531
1.74,0.002854258,0.006262846,0.01793946,-690412.3638,0.00299059,3.83E-05,0.000108937,0.000198679,0.000283475,0.00036382,0.000423053,0.000462753,0.000490143,0.000523014,0.000581581,0.000669282,0.000783166,0.000913922,0.001017,0.00108481,0.00113212,0.00117374
1.76,0.003564706,0.003765308,0.024996542,-550041.3038,-0.00107913,3.57E-05,0.000105561,0.000198475,0.000288279,0.000374204,0.000438752,0.000483143,0.000511856,0.000541698,0.000594079,0.000673466,0.000781804,0.00091438,0.00102761,0.00111488,0.00118323,0.0012431
1.78,0.006075449,0.003851394,0.027381833,-395143.5598,-0.0027557,3.23E-05,1.00E-04,0.000194672,0.000289371,0.000381201,0.000451115,0.000500705,0.000531541,0.000559032,0.000605474,0.000676435,0.000778652,0.000911915,0.0010345,0.0011416,0.00123244,0.00131228
1.8,0.005627329,0.002320108,0.036051264,-221803.5506,-0.00721533,2.81E-05,9.24E-05,0.000187308,0.000286235,0.000384316,0.000459858,0.000514993,0.000548607,0.00057443,0.000615335,0.000677874,0.000773578,0.000906524,0.0010376,0.00116467,0.00127903,0.00138007
1.82,0.007703576,0.003216339,0.039138255,-48997.3087,-0.00868765,2.34E-05,8.30E-05,0.000176544,0.000278593,0.000383083,0.000464738,0.00052571,0.000562559,0.000587381,0.000623304,0.000677548,0.000766522,0.000898272,0.001037,0.00118389,0.00132235,0.00144527
1.84,0.00679473,-0.001491748,0.0386361,68728.8774,-0.00768137,1.87E-05,7.26E-05,0.000163129,0.000266932,0.000377653,0.000465997,0.00053315,0.000573512,0.000597966,0.000629578,0.000675799,0.000757977,0.000887798,0.00103341,0.00119973,0.00136232,0.00150725
